pair,frequency
dc,2.5190982269910315e-5
jo,0.0005378966907487205
lm,0.00023020919388787198
rx,1.1700197750827059e-5
hc,1.228216023502966e-5
bg,2.5546511654583004e-6
zu,2.152485921557423e-5
do,0.0018823497105864835
ak,0.0010469932031918583
oi,0.0008775074676657127
ok,0.0006431180495439353
lb,6.690295672480866e-5
fn,4.193077898282152e-6
kn,0.0005143883089325302
el,0.0053030155892002185
yc,0.00013500567107078203
ky,5.949708692045417e-5
ag,0.0020472490648100632
nb,4.335938098470417e-5
rl,0.0008626468395880397
sj,2.703105793352429e-6
ip,0.0008921120651337005
fx,2.880188311933054e-7
yn,0.00013214179641135189
vr,8.760351597293566e-6
qj,8.402706711475635e-8
ew,0.0011680577993843661
aw,0.0005991626391450328
yw,3.371689165411773e-5
bh,1.056790670625287e-5
qk,0.0
aj,0.00011752630331449835
vt,2.192436584375253e-6
hr,0.0008439253556003175
gy,0.0002593998156813537
wj,3.2421571189517844e-7
ij,1.1109294481398722e-5
mt,1.3667842921305478e-5
lj,1.1241886574553005e-6
zf,2.1576657606901463e-7
ti,0.013425788170089764
id,0.002955039109640445
gs,0.0005119317272931717
op,0.002239110516949617
qa,1.5243999798122404e-6
ch,0.005977659776993852
qu,0.0014754132569029317
up,0.001360124828938564
ll,0.00576571076300642
xo,2.6988043216440842e-5
mk,1.4033177733583133e-6
ey,0.0014374572644723898
js,1.1806510815672873e-6
mr,3.106055847393173e-5
xy,2.5764015317761724e-5
qm,3.5105899205982257e-7
rg,0.0009977345013122607
zy,2.3574870970960865e-5
ug,0.001279075756509812
qt,4.913725757311525e-7
ln,5.8698357385961136e-5
zp,4.829818562684127e-7
km,1.789193339253743e-5
qq,6.072424568989777e-7
ai,0.003164477518153824
ec,0.004772827186326274
hu,0.0007369276170545124
vf,5.498235354544322e-7
si,0.00550057242402309
ru,0.001283287568917398
vp,1.9541506493423943e-6
oc,0.0016640508583674763
cv,2.081598865110163e-6
pg,4.736364836652272e-6
fm,6.8592512620014045e-6
oo,0.0021025921710596876
lw,0.0001263889135912073
wt,6.541432485103197e-5
wq,0.0
mu,0.001146185325560156
vz,1.7774784635069566e-7
zv,1.6380344873474672e-6
ac,0.004477721995513402
ov,0.0017808654499976906
uv,2.9170987885870377e-5
ut,0.004051512681993427
ex,0.0021404459030375522
kb,9.010369431385025e-6
ax,0.0001883937857903907
ra,0.006856330314206551
hg,2.762652274121417e-6
gf,1.2044892506834687e-5
uo,0.00010656740128132193
ct,0.004609717569833274
uc,0.0018765226217315315
qy,0.0
gu,0.0008576950869440064
go,0.0013212780817870803
sq,7.443946555193908e-5
gm,9.858149369095683e-5
mx,3.526428693631995e-7
np,6.035706136572198e-5
zj,1.0959785472129102e-7
xx,2.8041737630368995e-5
ow,0.0033047804182783813
wh,0.0037879343139092495
vd,2.9898368819374584e-6
yx,1.4935090526114474e-6
ws,0.00035084111991287353
bk,9.361016317438012e-7
uu,7.804796575974118e-6
la,0.005275294441670981
va,0.0013998007454339783
zh,6.661331855107903e-6
fl,0.0006490488181701867
pu,0.001045402050905247
zt,2.350404761007198e-6
oz,3.472223489736102e-5
pn,1.1893666270985813e-5
pq,3.812686321357193e-7
rb,0.00026712224389915793
xn,5.722708999953956e-7
ul,0.0034582949383408857
xq,2.9172055034729726e-6
gq,1.2257635671795039e-7
cs,0.00022822966999227055
am,0.0028486596900530927
nj,0.00011086395999094682
we,0.0036089923262116784
bt,0.00017103922160745399
dt,2.895677114048111e-5
jh,1.2561320914989996e-6
pr,0.00474470915872401
xf,1.8574645865145906e-5
ge,0.0038518951302346054
bc,1.8895200855696378e-5
tb,2.544494525651471e-5
mz,3.4411277153498116e-7
zg,1.6763184970082236e-6
pv,2.206680840535762e-6
fh,1.8321924516346958e-6
re,0.018543231910521065
bv,3.843901719974211e-5
ym,0.00023674882112168774
dx,4.597276576779233e-7
im,0.0031775994649595714
yb,4.2991211791009456e-5
sg,2.4679789239442523e-5
yo,0.0014990161014310313
tz,3.8489544871772874e-5
ar,0.010748984742942346
tm,0.0002647908857415045
lf,0.0005347688515523429
ft,0.000816643643941075
bp,5.471310149691573e-6
wl,0.00015221175189898594
sd,5.258615288378493e-5
xp,0.000668638321181966
vc,2.330365485783281e-6
sf,0.00017164460994197454
mn,8.790070008427924e-5
mj,1.0367640210242988e-6
jz,7.826290280401158e-8
ot,0.004421032981545556
as,0.008710950725934656
lg,6.087869252355049e-5
py,0.00011763752370362693
to,0.010412665302782832
ed,0.011681233651308664
ff,0.0014631657862762036
os,0.002899667676599962
bb,0.00010933104622731352
jv,6.099048319362484e-7
dw,8.162407911681682e-5
md,6.713220682779148e-6
ty,0.0022727710093077376
qe,2.0301824343417607e-7
eq,0.0005725195733425061
tj,1.1241265932976448e-6
yl,0.00014756455942544424
yd,6.818024879289267e-5
sr,5.989948006394196e-5
nt,0.010412511512410641
wk,1.0673521815314304e-5
jq,0.0
ms,0.0009283316556428383
eh,0.00026323716594431096
nn,0.0007276469489955757
xi,0.00039418316655567056
ce,0.006514173632205198
in,0.024327452898924896
ks,0.0004750889700828898
vg,1.049865942031611e-6
fs,5.509522093998982e-5
ju,0.0005870242886563383
mi,0.0031769136939652737
lq,1.2706944707990358e-6
ga,0.0014807706704570165
rq,9.984375594797058e-6
vh,9.54397081463754e-7
pi,0.001230941047519584
ds,0.0012626067496179288
ps,0.0005457118644518548
xh,4.17137338851048e-5
rr,0.0012074305480743342
rd,0.001893163848503906
dv,0.00019052697025543044
lk,0.00019714520156759115
ik,0.0004291274372183285
tg,1.969131766647826e-5
nw,5.797005116452936e-5
yt,0.00016683904605210232
xj,1.8125358462742683e-7
th,0.035562033867788265
qz,0.0
qn,6.595859488565936e-7
eu,0.00031152734742272863
sw,0.00023528201313365683
